VAR_MAIN_STORY, 4029
.equ MAIN_STORY_WOKE_UP_IN_HOUSE, 0x0
.equ MAIN_STORY_TALKED_TO_MOM, 0x1
.equ MAIN_STORY_LEAVE_HOUSE, 0x1
.equ MAIN_STORY_TALKED_TO_PROF_AIDE, 0x2
.equ MAIN_STORY_WARPED_TO_OBSERVATORY, 0x2
.equ MAIN_STORY_GOING_TO_PROFESSOR, 0x2
.equ MAIN_STORY_TALKED_TO_PROFESSOR, 0x2
.equ MAIN_STORY_RECEIVING_STARTER, 0x2
.equ MAIN_STORY_GOING_TO_GET_STARTER, 0x3
.equ MAIN_STORY_RECEIVED_STARTER, 0x4
.equ MAIN_STORY_MEETING_RIVAL_OUTSIDE_OBSERVATORY, 0x4
.equ MAIN_STORY_MET_RIVAL_OUTSIDE_OBSERVATORY, 0x5
.equ MAIN_STORY_LEAVING_TOWN, 0x6
.equ MAIN_STORY_MET_RIVAL_IN_AERILON_PASS, 0x7
.equ MAIN_STORY_ENTERED_PKMNCENTER_IN_GOLDTREE, 0x7
.equ MAIN_STORY_MEETING_COMPLETED_IN_GOLDTREE_PKMNCENTER, 0x8
.equ MAIN_STORY_TEAM_ETERNAL_GRUNT_FLED, 0x9
.equ MAIN_STORY_PLAYER_MET_LANDRE_IN_RUINWAY_PASSAGE, 0xA
.equ MAIN_STORY_PLAYER_MET_JOE_IN_WESTRAY_VILLAGE, 0xB
.equ MAIN_STORY_PLAYER_FOUND_WESTRAY_CATOCOMBS, 0xC
.equ MAIN_STORY_PLAYER_DEFEATED_AVERILL_IN_WESTRAY_CATOCOMBS, 0xD
.equ MAIN_STORY_PLAYER_RECEIVED_WINTER_GEAR_FROM_JOE_IN_WESTRAY_VILLAGE, 0xE
